Partition_Name,Type,Size_KB,,Region,Reserved,Download,Download_File,OTA_Update,EmptyBoot_Needed,FastBoot_Erase,,FastBoot_Download,,Operation_Type
,,eng,user,,,,,,,eng,user,eng,user,
preloader,Raw data,256.0,,EMMC_BOOT_1,N,Y,AUTO,Y,N,N,,N,,BOOTLOADERS
pgpt,Raw data,512.0,,EMMC_USER,N,N,NONE,N,N,Y,N,Y,N,AUTO
proinfo,Raw data,3072.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,PROTECTED
misc2,Raw data,8192.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
nvram,Raw data,5120.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,BINREGION
protect1,EXT4,10240.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,PROTECTED
protect2,EXT4,10240.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,PROTECTED
lk,Raw data,512.0,,EMMC_USER,N,Y,lk.img,Y,Y,Y,N,Y,N,AUTO
lk_a,Raw data,512.0,,EMMC_USER,N,Y,lk.img,Y,Y,Y,N,Y,N,AUTO
lk_b,Raw data,512.0,,EMMC_USER,N,N,lk.img,Y,Y,Y,N,Y,N,AUTO
para,Raw data,512.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
boot,Raw data,16384.0,,EMMC_USER,N,Y,boot.img,Y,N,Y,,Y,,AUTO
boot_a,Raw data,16384.0,,EMMC_USER,N,Y,boot.img,Y,N,Y,,Y,,AUTO
boot_b,Raw data,16384.0,,EMMC_USER,N,N,boot.img,Y,N,Y,,Y,,AUTO
recovery,Raw data,16384.0,,EMMC_USER,N,Y,recovery.img,Y,N,Y,N,Y,N,AUTO
logo,Raw data,8192.0,,EMMC_USER,N,Y,logo.bin,N,Y,Y,N,Y,N,AUTO
expdb,Raw data,10240.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
eng_system,EXT4,32768.0,,EMMC_USER,N,N,NONE,N,N,Y,,Y,,AUTO
eng_vendor,EXT4,32768.0,,EMMC_USER,N,N,NONE,N,N,Y,,Y,,AUTO
seccfg,Raw data,512.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
oemkeystore,Raw data,2048.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
secro,Raw data,6144.0,,EMMC_USER,N,Y,secro.img,N,N,N,,N,,AUTO
keystore,Raw data,8192.0,,EMMC_USER,N,N,NONE,N,N,Y,,Y,,AUTO
tee1,Raw data,5120.0,,EMMC_USER,N,Y,tee.img,Y,Y,N,,N,,AUTO
tee2,Raw data,5120.0,,EMMC_USER,N,Y,tee.img,Y,N,N,,N,,AUTO
tee_a,Raw data,5120.0,,EMMC_USER,N,Y,tee.img,Y,Y,N,,N,,AUTO
tee_b,Raw data,5120.0,,EMMC_USER,N,N,tee.img,Y,Y,N,,N,,AUTO
lk2,Raw data,512.0,,EMMC_USER,N,Y,lk.img,N,N,Y,N,Y,N,AUTO
persist,EXT4,49152.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,PROTECTED
custom,EXT4,56320.0,,EMMC_USER,N,Y,AUTO,N,N,N,,N,,AUTO
recovery2,EXT4,16384.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
radio,EXT4,32768.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
odm,EXT4,65536.0,,EMMC_USER,N,Y,odm.img,N,N,N,,N,,AUTO
odm_a,EXT4,65536.0,,EMMC_USER,N,Y,odm.img,N,N,N,,N,,AUTO
odm_b,EXT4,65536.0,,EMMC_USER,N,Y,odm.img,N,N,N,,N,,AUTO
oem,EXT4,65536.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
efuse,Raw data,512.0,,EMMC_USER,N,Y,efuse.img,N,N,N,,N,,AUTO
frp,Raw data,1024.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
nvdata,EXT4,32768.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
dtbo,Raw data,16384.0,,EMMC_USER,N,Y,dtbo.img,Y,N,Y,,Y,,AUTO
odmdtbo,Raw data,16384.0,,EMMC_USER,N,Y,odmdtbo.img,Y,N,Y,,Y,,AUTO
metadata,Raw data,32768.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
vendor,EXT4,262144.0,,EMMC_USER,N,Y,vendor.img,Y,N,Y,,Y,,AUTO
vendor_a,EXT4,524288.0,,EMMC_USER,N,Y,vendor.img,Y,N,Y,,Y,,AUTO
vendor_b,EXT4,524288.0,,EMMC_USER,N,N,vendor.img,Y,N,Y,,Y,,AUTO
system,EXT4,1572864.0,,EMMC_USER,N,Y,system.img,Y,N,Y,,Y,,AUTO
system_a,EXT4,2621440.0,,EMMC_USER,N,Y,system.img,Y,N,Y,,Y,,AUTO
system_b,EXT4,2621440.0,,EMMC_USER,N,Y,system_other.img,Y,N,Y,,Y,,AUTO
vbmeta,Raw data,8192.0,,EMMC_USER,N,Y,vbmeta.img,Y,N,Y,,Y,,AUTO
vbmeta_a,Raw data,8192.0,,EMMC_USER,N,Y,vbmeta.img,Y,N,Y,,Y,,AUTO
vbmeta_b,Raw data,8192.0,,EMMC_USER,N,Y,vbmeta.img,Y,N,Y,,Y,,AUTO
cache,EXT4,204800.0,,EMMC_USER,N,Y,cache.img,N,N,Y,,Y,,AUTO
userdata,EXT4,1572864.0,,EMMC_USER,N,Y,userdata.img,N,N,Y,,Y,,AUTO
intsd,FAT,0.0,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
otp,Raw data,44032.0,,EMMC_USER,Y,N,NONE,N,N,N,,N,,RESERVED
flashinfo,Raw data,16384.0,,EMMC_USER,Y,N,NONE,N,N,N,,N,,RESERVED
sgpt,Raw data,512.0,,EMMC_USER,Y,N,NONE,N,N,N,,N,,RESERVED
